Repo Name,Username,Stars,Repo URL
three.js,mrdoob,101000.0,https://github.com/mrdoob/three.js
react-three-fiber,pmndrs,27000.0,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,23100.0,https://github.com/libgdx/libgdx
Babylon.js,BabylonJS,22900.0,https://github.com/BabylonJS/Babylon.js
tinyrenderer,ssloy,20100.0,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,18700.0,https://github.com/FreeCAD/FreeCAD
3d-game-shaders-for-beginners,lettier,17600.0,https://github.com/lettier/3d-game-shaders-for-beginners
aframe,aframevr,16500.0,https://github.com/aframevr/aframe
cesium,CesiumGS,12600.0,https://github.com/CesiumGS/cesium
blender,blender,12600.0,https://github.com/blender/blender
MonoGame,MonoGame,11200.0,https://github.com/MonoGame/MonoGame
Open3D,isl-org,11100.0,https://github.com/isl-org/Open3D
mapbox-gl-js,mapbox,11000.0,https://github.com/mapbox/mapbox-gl-js
zdog,metafizzy,10300.0,https://github.com/metafizzy/zdog
3D-Machine-Learning,timzhang642,9600.0,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio,nerfstudio-project,9100.0,https://github.com/nerfstudio-project/nerfstudio
GDevelop,4ian,8800.0,https://github.com/4ian/GDevelop
SpaceshipGenerator,a1studmuffin,7600.0,https://github.com/a1studmuffin/SpaceshipGenerator
Fyrox,FyroxEngine,7600.0,https://github.com/FyroxEngine/Fyrox
BlenderGIS,domlysz,7600.0,https://github.com/domlysz/BlenderGIS
