Repo Name,Username,Stars,Repo URL
Blog,ljianshu,7900.0,https://github.com/ljianshu/Blog
infinite-scroll,metafizzy,7400.0,https://github.com/metafizzy/infinite-scroll
tabulator,olifolkerd,6600.0,https://github.com/olifolkerd/tabulator
unfetch,developit,5700.0,https://github.com/developit/unfetch
form,jquery-form,5200.0,https://github.com/jquery-form/form
wretch,elbywan,4700.0,https://github.com/elbywan/wretch
elFinder,Studio-42,4600.0,https://github.com/Studio-42/elFinder
learn-to-send-email-via-google-script-html-no-server,dwyl,3100.0,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
reqwest,ded,2900.0,https://github.com/ded/reqwest
ajax-hook,wendux,2600.0,https://github.com/wendux/ajax-hook
bliss,LeaVerou,2400.0,https://github.com/LeaVerou/bliss
featherlight,noelboss,2100.0,https://github.com/noelboss/featherlight
jquery-confirm,craftpip,1900.0,https://github.com/craftpip/jquery-confirm
tsrpc,k8w,1800.0,https://github.com/k8w/tsrpc
tracy,nette,1700.0,https://github.com/nette/tracy
sente,taoensso,1700.0,https://github.com/taoensso/sente
css-spinner,loadingio,1700.0,https://github.com/loadingio/css-spinner
Enterprise,joaomilho,1600.0,https://github.com/joaomilho/Enterprise
eCommerce,codingforentrepreneurs,1600.0,https://github.com/codingforentrepreneurs/eCommerce
pjax,MoOx,1400.0,https://github.com/MoOx/pjax
