Repo Name,Username,Stars,Repo URL
coding-interview-university,jwasham,303000.0,https://github.com/jwasham/coding-interview-university
javascript-algorithms,trekhleb,186000.0,https://github.com/trekhleb/javascript-algorithms
Python,TheAlgorithms,184000.0,https://github.com/TheAlgorithms/Python
CS-Notes,CyC2018,174000.0,https://github.com/CyC2018/CS-Notes
tech-interview-handbook,yangshun,116000.0,https://github.com/yangshun/tech-interview-handbook
hello-algo,krahets,93800.0,https://github.com/krahets/hello-algo
interviews,kdn251,63200.0,https://github.com/kdn251/interviews
Java,TheAlgorithms,58100.0,https://github.com/TheAlgorithms/Java
leetcode,azl397985856,54300.0,https://github.com/azl397985856/leetcode
leetcode-master,youngyangyang04,50000.0,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46500.0,https://github.com/algorithm-visualizer/algorithm-visualizer
interview,huihut,34200.0,https://github.com/huihut/interview
LeetCode-Go,halfrost,32600.0,https://github.com/halfrost/LeetCode-Go
JavaScript,TheAlgorithms,32000.0,https://github.com/TheAlgorithms/JavaScript
C-Plus-Plus,TheAlgorithms,29900.0,https://github.com/TheAlgorithms/C-Plus-Plus
interactive-coding-challenges,donnemartin,29300.0,https://github.com/donnemartin/interactive-coding-challenges
JCSprout,crossoverJie,27100.0,https://github.com/crossoverJie/JCSprout
algorithms,keon,23900.0,https://github.com/keon/algorithms
WaveFunctionCollapse,mxgmn,23100.0,https://github.com/mxgmn/WaveFunctionCollapse
homemade-machine-learning,trekhleb,22900.0,https://github.com/trekhleb/homemade-machine-learning
