Repo Name,Username,Stars,Repo URL
devops-exercises,bregman-arie,65600.0,https://github.com/bregman-arie/devops-exercises
system-design-101,ByteByteGoHq,62400.0,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,53500.0,https://github.com/localstack/localstack
serverless,serverless,46300.0,https://github.com/serverless/serverless
data-science-ipython-notebooks,donnemartin,27000.0,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,21300.0,https://github.com/sst/sst
pulumi,pulumi,20800.0,https://github.com/pulumi/pulumi
sops,getsops,16100.000000000002,https://github.com/getsops/sops
kubespray,kubernetes-sigs,15800.0,https://github.com/kubernetes-sigs/kubespray
aws-cli,aws,15300.0,https://github.com/aws/aws-cli
awesome-kubernetes,ramitsurana,14900.0,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12800.0,https://github.com/caprover/caprover
awesome-aws,donnemartin,12300.0,https://github.com/donnemartin/awesome-aws
terraformer,GoogleCloudPlatform,12300.0,https://github.com/GoogleCloudPlatform/terraformer
aws-cdk,aws,11500.0,https://github.com/aws/aws-cdk
DevOps-Roadmap,milanm,11100.0,https://github.com/milanm/DevOps-Roadmap
phidata,phidatahq,11000.0,https://github.com/phidatahq/phidata
cas,apereo,10800.0,https://github.com/apereo/cas
infracost,infracost,10800.0,https://github.com/infracost/infracost
chalice,aws,10600.0,https://github.com/aws/chalice
