Repo Name,Username,Stars,Repo URL
flutter,flutter,164000.0,https://github.com/flutter/flutter
react-native,facebook,118000.0,https://github.com/facebook/react-native
free-programming-books-zh_CN,justjavac,111000.0,https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,108000.0,https://github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,81900.0,https://github.com/Hack-with-Github/Awesome-Hacking
awesome-flutter,Solido,52700.0,https://github.com/Solido/awesome-flutter
material-design-icons,google,50300.0,https://github.com/google/material-design-icons
tldr,tldr-pages,50200.0,https://github.com/tldr-pages/tldr
awesome-android-ui,wasabeef,50100.0,https://github.com/wasabeef/awesome-android-ui
okhttp,square,45600.0,https://github.com/square/okhttp
joplin,laurent22,44800.0,https://github.com/laurent22/joplin
architecture-samples,android,44200.0,https://github.com/android/architecture-samples
appwrite,appwrite,43200.0,https://github.com/appwrite/appwrite
retrofit,square,42900.0,https://github.com/square/retrofit
jadx,skylot,40700.0,https://github.com/skylot/jadx
uni-app,dcloudio,39800.0,https://github.com/dcloudio/uni-app
fastlane,fastlane,39000.0,https://github.com/fastlane/fastlane
MPAndroidChart,PhilJay,37500.0,https://github.com/PhilJay/MPAndroidChart
shadowsocks-android,shadowsocks,34900.0,https://github.com/shadowsocks/shadowsocks-android
lottie-android,airbnb,34900.0,https://github.com/airbnb/lottie-android
