Repo Name,Username,Stars,Repo URL
free-programming-books-zh_CN,justjavac,111000.0,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,95600.0,https://github.com/angular/angular
storybook,storybookjs,83800.0,https://github.com/storybookjs/storybook
33-js-concepts,leonardomso,62900.0,https://github.com/leonardomso/33-js-concepts
ionic-framework,ionic-team,50800.0,https://github.com/ionic-team/ionic-framework
prettier,prettier,49000.0,https://github.com/prettier/prettier
30-Days-Of-JavaScript,Asabeneh,42400.0,https://github.com/Asabeneh/30-Days-Of-JavaScript
sheetjs,SheetJS,34900.0,https://github.com/SheetJS/sheetjs
angular-cli,angular,26700.0,https://github.com/angular/angular-cli
components,angular,24300.0,https://github.com/angular/components
wails,wailsapp,24100.0,https://github.com/wailsapp/wails
NativeScript,NativeScript,24000.0,https://github.com/NativeScript/NativeScript
javascript-testing-best-practices,goldbergyoni,23900.0,https://github.com/goldbergyoni/javascript-testing-best-practices
javascript-interview-questions,sudheerj,23400.0,https://github.com/sudheerj/javascript-interview-questions
nx,nrwl,23000.0,https://github.com/nrwl/nx
generator-jhipster,jhipster,21400.0,https://github.com/jhipster/generator-jhipster
rxdb,pubkey,21100.0,https://github.com/pubkey/rxdb
paperless-ngx,paperless-ngx,18800.0,https://github.com/paperless-ngx/paperless-ngx
bit,teambit,17800.0,https://github.com/teambit/bit
sweetalert2,sweetalert2,17100.0,https://github.com/sweetalert2/sweetalert2
