Repo Name,Username,Stars,Repo URL
devops-exercises,bregman-arie,65600.0,https://github.com/bregman-arie/devops-exercises
ansible,ansible,62200.0,https://github.com/ansible/ansible
algo,trailofbits,28600.0,https://github.com/trailofbits/algo
90DaysOfDevOps,MichaelCade,26300.0,https://github.com/MichaelCade/90DaysOfDevOps
streisand,StreisandEffect,23200.0,https://github.com/StreisandEffect/streisand
kubespray,kubernetes-sigs,15800.0,https://github.com/kubernetes-sigs/kubespray
awx,ansible,13800.0,https://github.com/ansible/awx
kubeasz,easzlab,10400.0,https://github.com/easzlab/kubeasz
semaphore,semaphoreui,10200.0,https://github.com/semaphoreui/semaphore
netboot.xyz,netbootxyz,8800.0,https://github.com/netbootxyz/netboot.xyz
ansible-for-devops,geerlingguy,8300.0,https://github.com/geerlingguy/ansible-for-devops
homelab,khuedoan,8000.0,https://github.com/khuedoan/homelab
DevOps-Guide,Tikam02,7900.0,https://github.com/Tikam02/DevOps-Guide
mac-dev-playbook,geerlingguy,5900.0,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5500.0,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,5000.0,https://github.com/KubeOperator/KubeOperator
DetectionLab,clong,4600.0,https://github.com/clong/DetectionLab
boilerplates,ChristianLempa,4400.0,https://github.com/ChristianLempa/boilerplates
ansible-collection-hardening,dev-sec,3900.0,https://github.com/dev-sec/ansible-collection-hardening
molecule,ansible,3900.0,https://github.com/ansible/molecule
