Repo Name,Username,Stars,Repo URL
Tasmota,arendst,21900.0,https://github.com/arendst/Tasmota
Marlin,MarlinFirmware,16100.000000000002,https://github.com/MarlinFirmware/Marlin
tinygo,tinygo-org,14900.0,https://github.com/tinygo-org/tinygo
Arduino,arduino,14100.0,https://github.com/arduino/Arduino
johnny-five,rwaldron,13300.0,https://github.com/rwaldron/johnny-five
esp8266_deauther,SpacehuhnTech,13200.0,https://github.com/SpacehuhnTech/esp8266_deauther
arduino-esp32,espressif,13200.0,https://github.com/espressif/arduino-esp32
lowlevelprogramming-university,gurugio,10100.0,https://github.com/gurugio/lowlevelprogramming-university
gobot,hybridgroup,8900.0,https://github.com/hybridgroup/gobot
platformio-core,platformio,7800.0,https://github.com/platformio/platformio-core
ArduinoJson,bblanchon,6700.0,https://github.com/bblanchon/ArduinoJson
WiFiManager,tzapu,6500.0,https://github.com/tzapu/WiFiManager
ESP32Marauder,justcallmekoko,5200.0,https://github.com/justcallmekoko/ESP32Marauder
u8g2,olikraus,5000.0,https://github.com/olikraus/u8g2
deej,omriharel,4700.0,https://github.com/omriharel/deej
OpenMower,ClemensElflein,4600.0,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4400.0,https://github.com/Arduino-IRremote/Arduino-IRremote
Serial-Studio,Serial-Studio,4300.0,https://github.com/Serial-Studio/Serial-Studio
arduino-cli,arduino,4300.0,https://github.com/arduino/arduino-cli
cylon,hybridgroup,4200.0,https://github.com/hybridgroup/cylon
