Repo Name,Username,Stars,Repo URL
awesome,sindresorhus,321000.0,https://github.com/sindresorhus/awesome
awesome-python,vinta,217000.0,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,192000.0,https://github.com/awesome-selfhosted/awesome-selfhosted
the-book-of-secret-knowledge,trimstray,142000.0,https://github.com/trimstray/the-book-of-secret-knowledge
awesome-go,avelino,128000.0,https://github.com/avelino/awesome-go
HelloGitHub,521xueweihan,89600.0,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,86300.0,https://github.com/papers-we-love/papers-we-love
Awesome-Hacking,Hack-with-Github,81900.0,https://github.com/Hack-with-Github/Awesome-Hacking
awesome-mac,jaywcjlove,74200.0,https://github.com/jaywcjlove/awesome-mac
awesome-interview-questions,DopplerHQ,70000.0,https://github.com/DopplerHQ/awesome-interview-questions
awesome-for-beginners,MunGell,67100.0,https://github.com/MunGell/awesome-for-beginners
awesome-react,enaqx,64099.99999999999,https://github.com/enaqx/awesome-react
awesome-cpp,fffaraz,58200.0,https://github.com/fffaraz/awesome-cpp
awesome-scalability,binhnguyennus,57800.0,https://github.com/binhnguyennus/awesome-scalability
awesome-nodejs,sindresorhus,57600.0,https://github.com/sindresorhus/awesome-nodejs
awesome-courses,prakhar1989,56200.0,https://github.com/prakhar1989/awesome-courses
awesome-flutter,Solido,52700.0,https://github.com/Solido/awesome-flutter
awesome-android-ui,wasabeef,50100.0,https://github.com/wasabeef/awesome-android-ui
github-cheat-sheet,tiimgreen,47200.0,https://github.com/tiimgreen/github-cheat-sheet
awesome-ios,vsouza,46800.0,https://github.com/vsouza/awesome-ios
