Repo Name,Username,Stars,Repo URL
devops-exercises,bregman-arie,65600.0,https://github.com/bregman-arie/devops-exercises
generative-ai-for-beginners,microsoft,61200.0,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,20800.0,https://github.com/pulumi/pulumi
recommenders,recommenders-team,18700.0,https://github.com/recommenders-team/recommenders
LibreChat,danny-avila,16900.0,https://github.com/danny-avila/LibreChat
sops,getsops,16100.000000000002,https://github.com/getsops/sops
awesome-kubernetes,ramitsurana,14900.0,https://github.com/ramitsurana/awesome-kubernetes
azure-quickstart-templates,Azure,13900.0,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,12800.0,https://github.com/caprover/caprover
DevOps-Roadmap,milanm,11100.0,https://github.com/milanm/DevOps-Roadmap
infracost,infracost,10800.0,https://github.com/infracost/infracost
prowler,prowler-cloud,10500.0,https://github.com/prowler-cloud/prowler
go-cloud,google,9500.0,https://github.com/google/go-cloud
computervision-recipes,microsoft,9400.0,https://github.com/microsoft/computervision-recipes
docker-android,budtmo,9200.0,https://github.com/budtmo/docker-android
metaflow,Netflix,8000.0,https://github.com/Netflix/metaflow
azuredatastudio,microsoft,7500.0,https://github.com/microsoft/azuredatastudio
midway,midwayjs,7300.0,https://github.com/midwayjs/midway
formidable,node-formidable,7000.0,https://github.com/node-formidable/formidable
clean-code-dotnet,thangchung,7000.0,https://github.com/thangchung/clean-code-dotnet
