Repo Name,Username,Stars,Repo URL
babel,babel,43100.0,https://github.com/babel/babel
swc,swc-project,30900.0,https://github.com/swc-project/swc
nylas-mail,nylas,24800.0,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,23100.0,https://github.com/electron-react-boilerplate/electron-react-boilerplate
electron-vue,SimulatedGREG,15500.0,https://github.com/SimulatedGREG/electron-vue
front-end-guide,grab,15100.0,https://github.com/grab/front-end-guide
babel-handbook,jamiebuilds,12000.0,https://github.com/jamiebuilds/babel-handbook
htm,developit,8700.0,https://github.com/developit/htm
grommet,grommet,8300.0,https://github.com/grommet/grommet
twin.macro,ben-rogerson,7900.0,https://github.com/ben-rogerson/twin.macro
ast-grep,ast-grep,7000.0,https://github.com/ast-grep/ast-grep
generator-angular-fullstack,angular-fullstack,6100.0,https://github.com/angular-fullstack/generator-angular-fullstack
astexplorer,fkling,6100.0,https://github.com/fkling/astexplorer
documentation,documentationjs,5800.0,https://github.com/documentationjs/documentation
nwb,insin,5600.0,https://github.com/insin/nwb
gogocode,thx,5400.0,https://github.com/thx/gogocode
thinkjs,thinkjs,5300.0,https://github.com/thinkjs/thinkjs
poi,egoist,5200.0,https://github.com/egoist/poi
react,duxianwei520,5000.0,https://github.com/duxianwei520/react
babel-loader,babel,4800.0,https://github.com/babel/babel-loader
