Repo Name,Username,Stars,Repo URL
the-art-of-command-line,jlevy,152000.0,https://github.com/jlevy/the-art-of-command-line
nvm,nvm-sh,78400.0,https://github.com/nvm-sh/nvm
fzf,junegunn,63300.0,https://github.com/junegunn/fzf
starship,starship,43900.0,https://github.com/starship/starship
zx,google,42700.0,https://github.com/google/zx
awesome-cheatsheets,LeCoupa,39200.0,https://github.com/LeCoupa/awesome-cheatsheets
acme.sh,acmesh-official,38300.0,https://github.com/acmesh-official/acme.sh
pure-bash-bible,dylanaraps,36400.0,https://github.com/dylanaraps/pure-bash-bible
shellcheck,koalaman,36000.0,https://github.com/koalaman/shellcheck
awesome-shell,alebcay,32400.0,https://github.com/alebcay/awesome-shell
linux-command,jaywcjlove,30800.0,https://github.com/jaywcjlove/linux-command
dotfiles,mathiasbynens,30100.0,https://github.com/mathiasbynens/dotfiles
autocomplete,withfig,24500.0,https://github.com/withfig/autocomplete
WindTerm,kingToolbox,22400.0,https://github.com/kingToolbox/WindTerm
neofetch,dylanaraps,21800.0,https://github.com/dylanaraps/neofetch
asdf,asdf-vm,21400.0,https://github.com/asdf-vm/asdf
zoxide,ajeetdsouza,21400.0,https://github.com/ajeetdsouza/zoxide
Warp,warpdotdev,20700.0,https://github.com/warpdotdev/Warp
atuin,atuinsh,19600.0,https://github.com/atuinsh/atuin
openvpn-install,Nyr,18900.0,https://github.com/Nyr/openvpn-install
