Repo Name,Username,Stars,Repo URL
bitcoin,bitcoin,77700.0,https://github.com/bitcoin/bitcoin
ccxt,ccxt,32299.999999999996,https://github.com/ccxt/ccxt
freqtrade,freqtrade,27800.0,https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,23300.0,https://github.com/bitcoinbook/bitcoinbook
ZeroNet,HelloZeroNet,18300.0,https://github.com/HelloZeroNet/ZeroNet
solana,solana-labs,12900.0,https://github.com/solana-labs/solana
abu,bbfamily,11700.0,https://github.com/bbfamily/abu
gekko,askmike,10100.0,https://github.com/askmike/gekko
blockchain,dvf,7700.0,https://github.com/dvf/blockchain
lnd,lightningnetwork,7600.0,https://github.com/lightningnetwork/lnd
electrum,spesmilo,7300.0,https://github.com/spesmilo/electrum
lbry-sdk,lbryio,7200.0,https://github.com/lbryio/lbry-sdk
umbrel,getumbrel,7100.0,https://github.com/getumbrel/umbrel
Qbot,UFund-Me,6800.0,https://github.com/UFund-Me/Qbot
blockchain_guide,yeasy,6800.0,https://github.com/yeasy/blockchain_guide
btcpayserver,btcpayserver,6300.0,https://github.com/btcpayserver/btcpayserver
btcd,btcsuite,6200.0,https://github.com/btcsuite/btcd
bitcoinjs-lib,bitcoinjs,5600.0,https://github.com/bitcoinjs/bitcoinjs-lib
jesse,jesse-ai,5500.0,https://github.com/jesse-ai/jesse
blockchain-demo,anders94,5200.0,https://github.com/anders94/blockchain-demo
