Repo Name,Username,Stars,Repo URL
project-based-learning,practical-tutorials,194000.0,https://github.com/practical-tutorials/project-based-learning
CS-Notes,CyC2018,174000.0,https://github.com/CyC2018/CS-Notes
awesome-cpp,fffaraz,58200.0,https://github.com/fffaraz/awesome-cpp
leetcode,azl397985856,54300.0,https://github.com/azl397985856/leetcode
leetcode-master,youngyangyang04,50000.0,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,44200.0,https://github.com/x64dbg/x64dbg
ImHex,WerWolv,42500.0,https://github.com/WerWolv/ImHex
CPlusPlusThings,Light-City,38600.0,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,36400.0,https://github.com/ClickHouse/ClickHouse
interview,huihut,34200.0,https://github.com/huihut/interview
carbon-lang,carbon-language,32299.999999999996,https://github.com/carbon-language/carbon-lang
openpose,CMU-Perceptual-Computing-Lab,30700.0,https://github.com/CMU-Perceptual-Computing-Lab/openpose
leetcode,doocs,30500.0,https://github.com/doocs/leetcode
C-Plus-Plus,TheAlgorithms,29900.0,https://github.com/TheAlgorithms/C-Plus-Plus
calculator,microsoft,29400.0,https://github.com/microsoft/calculator
aseprite,aseprite,28400.0,https://github.com/aseprite/aseprite
dragonfly,dragonflydb,25100.0,https://github.com/dragonflydb/dragonfly
modern-cpp-tutorial,changkun,23700.0,https://github.com/changkun/modern-cpp-tutorial
spdlog,gabime,23600.0,https://github.com/gabime/spdlog
solidity,ethereum,22900.0,https://github.com/ethereum/solidity
