Repo Name,Username,Stars,Repo URL
scrcpy,Genymobile,108000.0,https://github.com/Genymobile/scrcpy
neovim,neovim,81100.0,https://github.com/neovim/neovim
obs-studio,obsproject,58400.0,https://github.com/obsproject/obs-studio
awesome-cpp,fffaraz,58200.0,https://github.com/fffaraz/awesome-cpp
git,git,51600.0,https://github.com/git/git
FFmpeg,FFmpeg,44500.0,https://github.com/FFmpeg/FFmpeg
open-source-mac-os-apps,serhii-londar,40900.0,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,36000.0,https://github.com/vim/vim
curl,curl,35200.0,https://github.com/curl/curl
interview,huihut,34200.0,https://github.com/huihut/interview
mpv,mpv-player,27600.0,https://github.com/mpv-player/mpv
the_silver_searcher,ggreer,26000.0,https://github.com/ggreer/the_silver_searcher
srs,ossrs,25200.0,https://github.com/ossrs/srs
kitty,kovidgoyal,23600.0,https://github.com/kovidgoyal/kitty
flatbuffers,google,23000.0,https://github.com/google/flatbuffers
vcpkg,microsoft,22700.0,https://github.com/microsoft/vcpkg
ruby,ruby,21900.0,https://github.com/ruby/ruby
raylib,raysan5,21200.0,https://github.com/raysan5/raylib
hashcat,hashcat,20800.0,https://github.com/hashcat/hashcat
radare2,radareorg,20200.0,https://github.com/radareorg/radare2
