Repo Name,Username,Stars,Repo URL
linux-command,jaywcjlove,30800.0,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,24100.0,https://github.com/refined-github/refined-github
openai-translator,openai-translator,23500.0,https://github.com/openai-translator/openai-translator
darkreader,darkreader,19300.0,https://github.com/darkreader/darkreader
daily,dailydotdev,17700.0,https://github.com/dailydotdev/daily
headless-recorder,checkly,15000.0,https://github.com/checkly/headless-recorder
SingleFile,gildas-lormeau,14600.0,https://github.com/gildas-lormeau/SingleFile
codelf,unbug,14100.0,https://github.com/unbug/codelf
immersive-translate,immersive-translate,14000.0,https://github.com/immersive-translate/immersive-translate
chatgpt-google-extension,wong2,13300.0,https://github.com/wong2/chatgpt-google-extension
return-youtube-dislike,Anarios,12500.0,https://github.com/Anarios/return-youtube-dislike
ext-saladict,crimx,11900.0,https://github.com/crimx/ext-saladict
screenity,alyssaxuu,11400.0,https://github.com/alyssaxuu/screenity
listen1_chrome_extension,listen1,11400.0,https://github.com/listen1/listen1_chrome_extension
automa,AutomaApp,11200.0,https://github.com/AutomaApp/automa
plasmo,PlasmoHQ,9900.0,https://github.com/PlasmoHQ/plasmo
chathub,chathub-dev,9900.0,https://github.com/chathub-dev/chathub
chatGPTBox,josStorer,9800.0,https://github.com/josStorer/chatGPTBox
SponsorBlock,ajayyy,9700.0,https://github.com/ajayyy/SponsorBlock
cat-catch,xifangczy,8800.0,https://github.com/xifangczy/cat-catch
