Repo Name,Username,Stars,Repo URL
electron,electron,113000.0,https://github.com/electron/electron
puppeteer,puppeteer,88000.0,https://github.com/puppeteer/puppeteer
playwright,microsoft,65000.0,https://github.com/microsoft/playwright
mkcert,FiloSottile,48100.0,https://github.com/FiloSottile/mkcert
linux-command,jaywcjlove,30800.0,https://github.com/jaywcjlove/linux-command
octotree,ovity,22800.0,https://github.com/ovity/octotree
nightmare,segment-boneyard,19500.0,https://github.com/segment-boneyard/nightmare
chrome-extensions-samples,GoogleChrome,15000.0,https://github.com/GoogleChrome/chrome-extensions-samples
headless-recorder,checkly,15000.0,https://github.com/checkly/headless-recorder
SingleFile,gildas-lormeau,14600.0,https://github.com/gildas-lormeau/SingleFile
WebFundamentals,google,13900.0,https://github.com/google/WebFundamentals
chromeless,schickling,13200.0,https://github.com/schickling/chromeless
react-color,casesandberg,12000.0,https://github.com/casesandberg/react-color
ext-saladict,crimx,11900.0,https://github.com/crimx/ext-saladict
metamask-extension,MetaMask,11800.0,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10800.0,https://github.com/chromedp/chromedp
HackBrowserData,moonD4rk,10500.0,https://github.com/moonD4rk/HackBrowserData
SponsorBlock,ajayyy,9700.0,https://github.com/ajayyy/SponsorBlock
undetected-chromedriver,ultrafunkamsterdam,9400.0,https://github.com/ultrafunkamsterdam/undetected-chromedriver
clients,bitwarden,8900.0,https://github.com/bitwarden/clients
