Repo Name,Username,Stars,Repo URL
metabase,metabase,37800.0,https://github.com/metabase/metabase
penpot,penpot,31900.0,https://github.com/penpot/penpot
logseq,logseq,31700.0,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,13600.0,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700.0,https://github.com/LightTable/LightTable
mal,kanaka,10000.0,https://github.com/kanaka/mal
awesomo,lk-geimfari,9400.0,https://github.com/lk-geimfari/awesomo
datascript,tonsky,5400.0,https://github.com/tonsky/datascript
reagent,reagent-project,4700.0,https://github.com/reagent-project/reagent
intellij-rainbow-brackets,izhangzhihao,4400.0,https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4200.0,https://github.com/riemann/riemann
compojure,weavejester,4100.0,https://github.com/weavejester/compojure
defold,defold,4000.0,https://github.com/defold/defold
clojure-style-guide,bbatsov,4000.0,https://github.com/bbatsov/clojure-style-guide
babashka,babashka,4000.0,https://github.com/babashka/babashka
status-mobile,status-im,3900.0,https://github.com/status-im/status-mobile
ring,ring-clojure,3700.0,https://github.com/ring-clojure/ring
cider,clojure-emacs,3500.0,https://github.com/clojure-emacs/cider
klipse,viebel,3100.0,https://github.com/viebel/klipse
Rich-Hickey-fanclub,tallesl,3000.0,https://github.com/tallesl/Rich-Hickey-fanclub
