Repo Name,Username,Stars,Repo URL
SwiftLint,realm,18600.0,https://github.com/realm/SwiftLint
infer,facebook,14900.0,https://github.com/facebook/infer
static-analysis,analysis-tools-dev,13100.0,https://github.com/analysis-tools-dev/static-analysis
Modern-CPP-Programming,federico-busato,11700.0,https://github.com/federico-busato/Modern-CPP-Programming
awesome-guidelines,Kristories,9700.0,https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9400.0,https://github.com/super-linter/super-linter
sonarqube,SonarSource,8900.0,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8300.0,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,7700.0,https://github.com/reviewdog/reviewdog
pyre-check,facebook,6800.0,https://github.com/facebook/pyre-check
detekt,detekt,6200.0,https://github.com/detekt/detekt
state-of-the-art-shitcode,trekhleb,5500.0,https://github.com/trekhleb/state-of-the-art-shitcode
eslint-plugin-import,import-js,5400.0,https://github.com/import-js/eslint-plugin-import
pylint,pylint-dev,5200.0,https://github.com/pylint-dev/pylint
pmd,pmd,4800.0,https://github.com/pmd/pmd
simplecov,simplecov-ruby,4700.0,https://github.com/simplecov-ruby/simplecov
jscpd,kucherenko,4700.0,https://github.com/kucherenko/jscpd
grumphp,phpro,4100.0,https://github.com/phpro/grumphp
HTMLHint,htmlhint,3100.0,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2500.0,https://github.com/codeclimate/codeclimate
