Repo Name,Username,Stars,Repo URL
octotree,ovity,22800.0,https://github.com/ovity/octotree
gitpod,gitpod-io,12700.0,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,7700.0,https://github.com/reviewdog/reviewdog
danger,danger,5400.0,https://github.com/danger/danger
pr-agent,Codium-ai,5400.0,https://github.com/Codium-ai/pr-agent
danger-js,danger,5200.0,https://github.com/danger/danger-js
awesome-code-review,joho,4300.0,https://github.com/joho/awesome-code-review
nodejsscan,ajinabraham,2400.0,https://github.com/ajinabraham/nodejsscan
vscode-pull-request-github,microsoft,2300.0,https://github.com/microsoft/vscode-pull-request-github
cargo-crev,crev-dev,2100.0,https://github.com/crev-dev/cargo-crev
hound,houndci,2000.0,https://github.com/houndci/hound
mutant,mbj,1900.0,https://github.com/mbj/mutant
CodeAnalysis,Tencent,1600.0,https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1600.0,https://github.com/reviewboard/reviewboard
code-review-gpt,mattzcarey,1500.0,https://github.com/mattzcarey/code-review-gpt
code-review-tips,ryanmcdermott,1500.0,https://github.com/ryanmcdermott/code-review-tips
ai-pr-reviewer,coderabbitai,1500.0,https://github.com/coderabbitai/ai-pr-reviewer
python_sec,bit4woo,1300.0,https://github.com/bit4woo/python_sec
java-concurrency,code-review-checklists,1300.0,https://github.com/code-review-checklists/java-concurrency
Audit-Learning,jiangsir404,966.0,https://github.com/jiangsir404/Audit-Learning
