Repo Name,Username,Stars,Repo URL
next.js,vercel,124000.0,https://github.com/vercel/next.js
rust,rust-lang,96300.0,https://github.com/rust-lang/rust
svelte,sveltejs,78000.0,https://github.com/sveltejs/svelte
webpack,webpack,64400.00000000001,https://github.com/webpack/webpack
sway,FuelLabs,62800.0,https://github.com/FuelLabs/sway
gatsby,gatsbyjs,55200.0,https://github.com/gatsbyjs/gatsby
kotlin,JetBrains,48700.0,https://github.com/JetBrains/kotlin
parcel,parcel-bundler,43400.0,https://github.com/parcel-bundler/parcel
babel,babel,43100.0,https://github.com/babel/babel
esbuild,evanw,37800.0,https://github.com/evanw/esbuild
v,vlang,35600.0,https://github.com/vlang/v
zig,ziglang,33400.0,https://github.com/ziglang/zig
marked,markedjs,32700.000000000004,https://github.com/markedjs/marked
typst,typst,32299.999999999996,https://github.com/typst/typst
carbon-lang,carbon-language,32299.999999999996,https://github.com/carbon-language/carbon-lang
swc,swc-project,30900.0,https://github.com/swc-project/swc
pkg,vercel,24300.0,https://github.com/vercel/pkg
v8,v8,23100.0,https://github.com/v8/v8
graal,oracle,20100.0,https://github.com/oracle/graal
crystal,crystal-lang,19300.0,https://github.com/crystal-lang/crystal
