Repo Name,Username,Stars,Repo URL
localstack,localstack,53500.0,https://github.com/localstack/localstack
gitness,harness,32100.0,https://github.com/harness/gitness
jenkins,jenkinsci,22900.0,https://github.com/jenkinsci/jenkins
volkswagen,auchenberg,14200.0,https://github.com/auchenberg/volkswagen
DevOps-Roadmap,milanm,11100.0,https://github.com/milanm/DevOps-Roadmap
dagger,dagger,10800.0,https://github.com/dagger/dagger
origin,openshift,8500.0,https://github.com/openshift/origin
concourse,concourse,7300.0,https://github.com/concourse/concourse
gocd,gocd,7100.0,https://github.com/gocd/gocd
buildbot,buildbot,5200.0,https://github.com/buildbot/buildbot
gaia,gaia-pipeline,5200.0,https://github.com/gaia-pipeline/gaia
flagsmith,Flagsmith,4700.0,https://github.com/Flagsmith/flagsmith
strider,Strider-CD,4600.0,https://github.com/Strider-CD/strider
jx,jenkins-x,4600.0,https://github.com/jenkins-x/jx
cds,ovh,4500.0,https://github.com/ovh/cds
ModernCppStarter,TheLartians,4300.0,https://github.com/TheLartians/ModernCppStarter
github-pages-deploy-action,JamesIves,4200.0,https://github.com/JamesIves/github-pages-deploy-action
werf,werf,4200.0,https://github.com/werf/werf
cml,iterative,4000.0,https://github.com/iterative/cml
xcpretty,xcpretty,3900.0,https://github.com/xcpretty/xcpretty
