Repo Name,Username,Stars,Repo URL
crystal,crystal-lang,19300.0,https://github.com/crystal-lang/crystal
kemal,kemalcr,3600.0,https://github.com/kemalcr/kemal
awesome-crystal,veelenga,3300.0,https://github.com/veelenga/awesome-crystal
lucky,luckyframework,2600.0,https://github.com/luckyframework/lucky
amber,amberframework,2600.0,https://github.com/amberframework/amber
hetzner-k3s,vitobotta,1700.0,https://github.com/vitobotta/hetzner-k3s
Mango,getmango,1700.0,https://github.com/getmango/Mango
lilith,ffwff,1100.0,https://github.com/ffwff/lilith
fib,drujensen,857.0,https://github.com/drujensen/fib
amethyst,amethyst-framework,649.0,https://github.com/amethyst-framework/amethyst
Programming-Language-Benchmarks,hanabi1224,629.0,https://github.com/hanabi1224/Programming-Language-Benchmarks
crystal-by-example,askn,550.0,https://github.com/askn/crystal-by-example
noir,owasp-noir,547.0,https://github.com/owasp-noir/noir
ameba,crystal-ameba,511.0,https://github.com/crystal-ameba/ameba
icr,crystal-community,502.0,https://github.com/crystal-community/icr
crystal-pg,will,462.0,https://github.com/will/crystal-pg
crystalline,elbywan,431.0,https://github.com/elbywan/crystalline
jennifer.cr,imdrasil,417.0,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,413.0,https://github.com/vim-crystal/vim-crystal
marten,martenframework,405.0,https://github.com/martenframework/marten
